year,country,energy_balance,Sum of all coal products,Sum of all fuel products,Sum of all peat products,Sum of all petroleum products,Sum of all renewable energies
1995,Ireland,Available final energy consumption,278,8416,597,4954,92
1995,Ireland,Commercial services,0,590,0,290,0
1995,Ireland,Commercial services- Accommodation and Food Services,0,0,0,0,0
1995,Ireland,"Commercial services- Financial, Insurance and Real Estate Activities",0,0,0,0,0
1995,Ireland,Commercial services- Information and Communication,0,0,0,0,0
1995,Ireland,Commercial services- Other Services Sectors,0,0,0,0,0
1995,Ireland,Commercial services- Transportation and Storage,0,0,0,0,0
1995,Ireland,"Commercial services- Wholesale, Retail, and Vehicle Repair",0,0,0,0,0
1995,Ireland,Exchanges and transfers- electricity,0,0,0,0,0
1995,Ireland,Exchanges and transfers- heat,0,0,0,0,0
1995,Ireland,Exchanges and transfers- other (excluding electricity and heat),0,0,0,0,0
1995,Ireland,Exports,6,1027,6,1013,0
1995,Ireland,Final non energy consumption feedstocks,0,524,0,101,0
1995,Ireland,Fisheries,0,51,0,51,0
1995,Ireland,Imports,1891,8775,0,6797,0
1995,Ireland,Indigenous production,1,4105,1697,0,155
1995,Ireland,Industry- basic metals and fabricated metal products,0,411,0,360,0
1995,Ireland,Industry- chemicals and man-made fibres,0,208,0,58,0
1995,Ireland,Industry- construction,0,65,0,48,0
1995,Ireland,Industry- electrical and optical equipment,3,149,0,50,0
1995,Ireland,Industry- food and beverages,18,476,0,220,3
1995,Ireland,Industry- machinery and equipment n.e.c,0,49,0,32,0
1995,Ireland,Industry- non energy mining,0,131,0,68,0
1995,Ireland,Industry- other manufacturing,0,56,0,6,0
1995,Ireland,Industry- other non-metallic mineral products,44,187,0,62,0
1995,Ireland,"Industry- pulp, paper, publishing and printing",0,42,0,8,0
1995,Ireland,Industry- rubber and plastic products,0,39,0,12,0
1995,Ireland,Industry- textiles and textile products,6,49,0,28,0
1995,Ireland,Industry- transport equipment manufacture,0,13,0,4,0
1995,Ireland,Industry- wood and wood products,0,87,0,7,59
1995,Ireland,Mar. bunkers,0,119,0,119,0
1995,Ireland,Non-energy consumption,0,524,0,101,0
1995,Ireland,Own use and distribution losses,0,346,6,65,0
1995,Ireland,Primary energy requirement excluding non energy,1777,10581,1184,5551,155
1995,Ireland,Primary energy supply including non energy,1777,11105,1184,5652,155
1995,Ireland,Public services,0,406,6,213,0
1995,Ireland,Public services- Education,0,0,0,0,0
1995,Ireland,"Public services- Health, Residential Care and Social Work Activities",0,0,0,0,0
1995,Ireland,Public services- Public Administration,0,0,0,0,0
1995,Ireland,"Public services- Water Supply, Sewerage, and Waste Management",0,0,0,0,0
1995,Ireland,Residential,246,2258,606,698,30
1995,Ireland,Statistical difference,0,0,0,0,0
1995,Ireland,Stock change,0,0,0,0,0
1995,Ireland,Sum of all commercial and public services,0,995,6,503,0
1995,Ireland,Sum of all exchanges and transfers,0,0,0,0,0
1995,Ireland,Sum of all industry sub-sectors,71,1963,0,965,62
1995,Ireland,Sum of all transformation input,1499,6263,730,2933,0
1995,Ireland,Sum of all transformation output,0,3921,148,2301,0
1995,Ireland,Sum of all transport,0,2372,0,2370,0
1995,Ireland,Total final energy consumption,317,7979,612,4884,92
1995,Ireland,Transformation input- briquetting plants,0,155,155,0,0
1995,Ireland,Transformation input- combined heat and power plants,4,51,8,5,0
1995,Ireland,Transformation input- oil refineries and other energy sectors,0,2316,0,2308,0
1995,Ireland,Transformation input- public thermal power plants,1495,3710,566,620,0
1995,Ireland,Transformation input- pumped storage consumption,0,31,0,0,0
1995,Ireland,Transformation output- briquetting plants,0,148,148,0,0
1995,Ireland,Transformation output- combined heat and power plants- electricity,0,20,0,0,0
1995,Ireland,Transformation output- combined heat and power plants- heat,0,0,0,0,0
1995,Ireland,Transformation output- oil refineries,0,2301,0,2301,0
1995,Ireland,Transformation output- public thermal power plants,0,1429,0,0,0
1995,Ireland,Transformation output- pumped storage consumption,0,22,0,0,0
1995,Ireland,Transport - navigation,0,7,0,7,0
1995,Ireland,Transport- Sum of all aviation transport,0,401,0,401,0
1995,Ireland,Transport- domestic aviation,0,15,0,15,0
1995,Ireland,Transport- fuel tourism,0,15,0,15,0
1995,Ireland,Transport- international aviation,0,386,0,386,0
1995,Ireland,Transport- rail,0,38,0,36,0
1995,Ireland,Transport- road freight,0,356,0,356,0
1995,Ireland,Transport- road light goods vehicle,0,0,0,0,0
1995,Ireland,Transport- road private car,0,1176,0,1176,0
